lambda,q,n,W,p_val
0,0,0,0,0
0,0.5,1,0.027842689499682,3.48027345918748e-95
0,0.5,2,0.00800953447943931,1.15953957559411e-95
0,0.5,3,0.00950621842523625,1.25896664467238e-95
0,0.5,4,0.0644895242632205,2.79532737175174e-94
0,0.5,5,0.0532852448665329,1.46743546306646e-94
0,0.5,6,0.0224557519582324,2.5770892330534e-95
0,0.5,7,0.052162836821292,1.37620075680344e-94
0,0.5,8,0.061056365761901,2.29279711482487e-94
0,0.5,9,0.029634076673151,3.84720054506115e-95
0,0.5,10,0.00302870420868684,8.82515094341176e-96
0,0.5,11,0.00634670320129793,1.05839038029646e-95
0,0.5,12,0.00467339874418415,9.65639463213042e-96
0,0.5,13,0.0110931227112858,1.37387800345555e-95
0,0.5,14,0.133560242224147,1.73520152041855e-92
0,0.5,15,0.0812644219350304,7.42977256888131e-94
0,0.5,16,0.020227506780218,2.27687863096126e-95
0,0.5,17,0.016854578317647,1.88851653793291e-95
0,0.5,18,0.051338471146569,1.31288110971925e-94
0,0.5,19,0.0990578268124269,2.131834572335e-93
0,0.5,20,0.00815448406380548,1.16880949974085e-95
0,0.5,21,0.0899629104102289,1.24104954040413e-93
0,0.5,22,0.094876588406169,1.66140955564594e-93
0,0.5,23,0.096678047978578,1.8495813821599e-93
0,0.5,24,0.0101891171742937,1.30716970196001e-95
0,0.5,25,0.117662111675139,6.54495621478743e-93
0,0.5,26,0.125226819864456,1.03885307369774e-92
0,0.5,27,0.00529512627866169,9.9909687184152e-96
0,0.5,28,0.00896203156207298,1.22185032675431e-95
0,0.5,29,0.0571516709995674,1.83151627262504e-94
0,0.5,30,0.0305216421956744,4.04332874458814e-95
0,2,1,0.931644029887851,5.03970288372895e-43
0,2,2,0.96811476172218,6.40270571764994e-32
0,2,3,0.981559807064983,5.18582371473167e-25
0,2,4,0.982585220104133,2.42828910073735e-24
0,2,5,0.989966533159638,2.24093590288253e-18
0,2,6,0.991779097219052,1.92726346543573e-16
0,2,7,0.993650867681102,4.16055654370112e-14
0,2,8,0.995638027409656,4.58136620568074e-11
0,2,9,0.990576839579907,9.38367152968222e-18
0,2,10,0.99499527359493,3.93680410352387e-12
0,2,11,0.99129373269556,5.49541810189847e-17
0,2,12,0.99529497761096,1.20453617169867e-11
0,2,13,0.997552909811961,3.46175274713388e-07
0,2,14,0.993524938064881,2.80939215028262e-14
0,2,15,0.995708419298338,6.07412698500224e-11
0,2,16,0.994883773361133,2.62505118586267e-12
0,2,17,0.995871639126016,1.18110914970878e-10
0,2,18,0.996474984215986,1.59829859030407e-09
0,2,19,0.996746000967151,5.60714151188358e-09
0,2,20,0.994971881529147,3.61422173795904e-12
0,2,21,0.997282914177565,8.1113919217479e-08
0,2,22,0.998000290833712,4.63052747792046e-06
0,2,23,0.998888202456768,0.00190503823025507
0,2,24,0.997759891519982,1.11371899462306e-06
0,2,25,0.999038807801556,0.00601019577908412
0,2,26,0.994589968379437,9.26272976528051e-13
0,2,27,0.997735050670749,9.65338589073059e-07
0,2,28,0.998558110376532,0.000174702249990891
0,2,29,0.997370691429627,1.28898243837131e-07
0,2,30,0.997098603194168,3.14557141542078e-08
0,10,1,0.998899724290963,0.0020775597920373
0,10,2,0.999437063552402,0.133983482183179
0,10,3,0.998739861899979,0.000636287029416471
0,10,4,0.99947838531481,0.182013258446991
0,10,5,0.999346159107436,0.066736996740905
0,10,6,0.999308306917153,0.0496548956229561
0,10,7,0.999720529089462,0.767199292109507
0,10,8,0.999658454095026,0.580568939348809
0,10,9,0.999712759635461,0.744636148611269
0,10,10,0.999421423531604,0.119067545902393
0,10,11,0.999573556162499,0.352289932039329
0,10,12,0.999528776237786,0.260714320245857
0,10,13,0.999752528135599,0.852846513011319
0,10,14,0.999337644045616,0.0624542496167085
0,10,15,0.999812832081766,0.962587992802998
0,10,16,0.999128028836616,0.0120374065887431
0,10,17,0.99915690353165,0.0150955335373432
0,10,18,0.999680879545238,0.648600562680637
0,10,19,0.999789965454518,0.93044312831147
0,10,20,0.999366097266327,0.07790796757046
0,10,21,0.999490965935545,0.199429800473653
0,10,22,0.999463271903746,0.162886555232881
0,10,23,0.999532683513977,0.267860172340983
0,10,24,0.998619166423621,0.000268000336276566
0,10,25,0.999611943353753,0.447635381421071
0,10,26,0.999648709901767,0.551534447045649
0,10,27,0.999466929958693,0.167342704166177
0,10,28,0.999696267370532,0.695401023219679
0,10,29,0.999528724337936,0.260620463698886
0,10,30,0.999556506131937,0.3148995422805
0,100,1,0.999491251484509,0.199841537451382
0,100,2,0.999608017158124,0.437208061968274
0,100,3,0.999769316271582,0.89122046627363
0,100,4,0.999574817644064,0.355180176345416
0,100,5,0.999487950430506,0.195126801135855
