"","lambda","q","n","W","p_val"
"1",0,0,0,0,0
"2",0,0.5,1,0.0291745787150244,3.74948951294897e-95
"3",0,0.5,2,0.0200881888477651,2.25933335667121e-95
"4",0,0.5,3,0.0508227335477248,1.27478050751819e-94
"5",0,0.5,4,0.0136534741918717,1.58220975726344e-95
"6",0,0.5,5,0.0522812784873201,1.38554987634014e-94
"7",0,0.5,6,0.0105639393647173,1.33441977071074e-95
"8",0,0.5,7,0.00384521999761445,9.22832570333312e-96
"9",0,0.5,8,0.106653614945575,3.36185928159793e-93
"10",0,0.5,9,0.0800854555607811,6.93294666419651e-94
"11",0,0.5,10,0.0334929484545232,4.77700865197769e-95
"12",0,0.5,11,0.0488447919929825,1.13878002589735e-94
"13",0,0.5,12,0.0882823860270274,1.12356374944251e-93
"14",0,0.5,13,0.016845149204899,1.88753095933577e-95
"15",0,0.5,14,0.0458842438075916,9.62210580487092e-95
"16",0,0.5,15,0.0042896717120382,9.45560068514387e-96
"17",0,0.5,16,0.081493137414864,7.53026920599379e-94
"18",0,0.5,17,0.120360393858947,7.71442656088507e-93
"19",0,0.5,18,0.0425469460873675,7.96207813810556e-95
"20",0,0.5,19,0.0735152839975751,4.72090204703094e-94
"21",0,0.5,20,0.0589855130398227,2.03508920149644e-94
"22",0,0.5,21,0.02379880731147,2.77716971286874e-95
"23",0,0.5,22,0.0275004065507802,3.4143161013328e-95
"24",0,0.5,23,0.106313678185003,3.2937820086018e-93
"25",0,0.5,24,0.0700170462008985,3.85110325869475e-94
"26",0,0.5,25,0.0510417915616468,1.29082444390156e-94
"27",0,0.5,26,0.0555707956454287,1.67268631637155e-94
"28",0,0.5,27,0.0279308898978431,3.49747835296959e-95
"29",0,0.5,28,0.109295593195872,3.94213671433864e-93
"30",0,0.5,29,0.00936188583778907,1.24901219883296e-95
"31",0,0.5,30,0.0779190556294326,6.10623049842263e-94
"32",0,0.5,31,0.0459335724316513,9.64911885195679e-95
"33",0,0.5,32,0.0147809376725608,1.68387144862921e-95
"34",0,0.5,33,0.0062657332615057,1.05370040884728e-95
"35",0,0.5,34,0.00736708970582345,1.1193442320576e-95
"36",0,0.5,35,0.0307192267918265,4.08835484445941e-95
"37",0,0.5,36,0.0497041802235743,1.1959603956983e-94
"38",0,0.5,37,0.0208405732734231,2.35574656686596e-95
"39",0,0.5,38,0.0686506394453322,3.55729221231499e-94
"40",0,0.5,39,0.0543381492654738,1.5586055384502e-94
"41",0,0.5,40,0.0274004260557108,3.39529074816426e-95
"42",0,0.5,41,0.0292266424886454,3.76043287362052e-95
"43",0,0.5,42,0.0388538754329201,6.46110005308504e-95
"44",0,0.5,43,0.0797296446801656,6.78973917311756e-94
"45",0,0.5,44,0.0714663603928026,4.18977158491654e-94
"46",0,0.5,45,0.0536544182118834,1.49876818672234e-94
"47",0,0.5,46,0.0415863052848536,7.54048021487986e-95
"48",0,0.5,47,0.0251309222876558,2.991227490578e-95
"49",0,0.5,48,0.0131433809272954,1.53828619075563e-95
"50",0,0.5,49,0.0126769270339098,1.4992052410037e-95
"51",0,0.5,50,0.00620804823867827,1.05037204014293e-95
"52",0,2,1,0.967787561814168,4.6678271523804e-32
"53",0,2,2,0.975426320551929,1.5968034141179e-28
"54",0,2,3,0.983398296162729,8.67346370826275e-24
"55",0,2,4,0.979247102303523,1.99288737761206e-26
"56",0,2,5,0.975912891506748,2.85593806132325e-28
"57",0,2,6,0.991448416998598,8.15350513452127e-17
"58",0,2,7,0.985005463868572,1.23883476542183e-22
"59",0,2,8,0.994964294103675,3.51556484074118e-12
"60",0,2,9,0.995653386147743,4.87098801535219e-11
"61",0,2,10,0.991322079050753,5.90529370338688e-17
"62",0,2,11,0.992334256402468,8.63050509446089e-16
"63",0,2,12,0.994562121802839,8.40782564258188e-13
"64",0,2,13,0.994675910602995,1.25145309229411e-12
"65",0,2,14,0.997735982833486,9.70518502236076e-07
