"","lambda","q","n","pos"
"1",0,0,0,0
"2",0,2,1,381
"3",0,2,2,410
"4",0,2,3,418
"5",0,2,4,443
"6",0,2,5,439
"7",0,2,6,450
"8",0,2,7,452
"9",0,2,8,457
"10",0,2,9,458
"11",0,2,10,456
"12",0,2,20,467
"13",0,2,30,464
"14",0,2,40,471
"15",0,2,50,472
"16",0,2,60,472
"17",0,2,70,472
"18",0,2,80,478
"19",0,2,90,473
"20",0,2,100,470
"21",0,2,110,464
"22",0,2,120,467
"23",0,2,130,474
"24",0,2,140,468
"25",0,2,150,476
"26",0,2,160,466
"27",0,2,170,482
"28",0,2,180,468
"29",0,2,190,476
"30",0,2,200,477
"31",0,2,210,466
"32",0,2,220,465
"33",0,2,230,469
"34",0,2,240,474
"35",0,2,250,472
"36",0,2,260,469
"37",0,2,270,479
"38",0,2,280,479
"39",0,2,290,477
"40",0,2,300,467
"41",0,2,310,466
"42",0,2,320,474
"43",0,2,330,474
"44",0,2,340,478
"45",0,2,350,475
"46",0,2,360,466
"47",0,2,370,483
"48",0,2,380,478
"49",0,2,390,475
"50",0,2,400,468
"51",0,2,410,471
"52",0,2,420,479
"53",0,2,430,481
"54",0,2,440,470
"55",0,2,450,468
"56",0,2,460,466
"57",0,2,470,479
"58",0,2,480,476
"59",0,2,490,475
"60",0,2,500,468
"61",0,10,1,460
"62",0,10,2,467
"63",0,10,3,472
"64",0,10,4,480
"65",0,10,5,461
"66",0,10,6,473
"67",0,10,7,480
"68",0,10,8,470
"69",0,10,9,471
"70",0,10,10,475
"71",0,10,20,482
"72",0,10,30,482
"73",0,10,40,470
"74",0,10,50,476
"75",0,10,60,478
"76",0,10,70,477
"77",0,10,80,475
"78",0,10,90,476
"79",0,10,100,475
"80",0,10,110,477
"81",0,10,120,480
"82",0,10,130,468
"83",0,10,140,472
"84",0,10,150,471
"85",0,10,160,473
"86",0,10,170,477
"87",0,10,180,471
"88",0,10,190,477
"89",0,10,200,475
"90",0,10,210,474
"91",0,10,220,476
"92",0,10,230,479
"93",0,10,240,482
"94",0,10,250,478
"95",0,10,260,473
"96",0,10,270,478
"97",0,10,280,480
"98",0,10,290,474
"99",0,10,300,480
"100",0,10,310,467
"101",0,10,320,477
"102",0,10,330,479
"103",0,10,340,475
"104",0,10,350,477
"105",0,10,360,473
"106",0,10,370,482
"107",0,10,380,478
"108",0,10,390,471
"109",0,10,400,478
"110",0,10,410,477
"111",0,10,420,475
"112",0,10,430,479
"113",0,10,440,478
"114",0,10,450,473
"115",0,10,460,472
"116",0,10,470,482
"117",0,10,480,481
"118",0,10,490,468
"119",0,10,500,478
"120",0,100,1,471
"121",0,100,2,477
"122",0,100,3,482
"123",0,100,4,468
"124",0,100,5,477
"125",0,100,6,470
"126",0,100,7,474
"127",0,100,8,473
"128",0,100,9,479
"129",0,100,10,480
"130",0,100,20,469
"131",0,100,30,476
"132",0,100,40,477
"133",0,100,50,474
"134",0,100,60,474
"135",0,100,70,474
"136",0,100,80,475
"137",0,100,90,475
"138",0,100,100,475
"139",0,100,110,477
"140",0,100,120,476
"141",0,100,130,475
"142",0,100,140,476
"143",0,100,150,479
"144",0,100,160,468
"145",0,100,170,468
"146",0,100,180,476
"147",0,100,190,475
"148",0,100,200,479
"149",0,100,210,470
"150",0,100,220,475
"151",0,100,230,477
"152",0,100,240,476
"153",0,100,250,478
"154",0,100,260,476
"155",0,100,270,472
"156",0,100,280,476
"157",0,100,290,480
"158",0,100,300,472
"159",0,100,310,467
"160",0,100,320,470
"161",0,100,330,475
"162",0,100,340,473
"163",0,100,350,475
"164",0,100,360,470
"165",0,100,370,472
"166",0,100,380,478
"167",0,100,390,476
"168",0,100,400,467
"169",0,100,410,478
"170",0,100,420,477
"171",0,100,430,480
"172",0,100,440,466
"173",0,100,450,473
"174",0,100,460,482
"175",0,100,470,474
"176",0,100,480,472
"177",0,100,490,473
"178",0,100,500,475
"179",0.5,2,1,276
"180",0.5,2,2,329
"181",0.5,2,3,363
"182",0.5,2,4,373
"183",0.5,2,5,389
"184",0.5,2,6,392
"185",0.5,2,7,404
"186",0.5,2,8,397
"187",0.5,2,9,422
"188",0.5,2,10,414
"189",0.5,2,20,425
"190",0.5,2,30,445
"191",0.5,2,40,452
"192",0.5,2,50,451
"193",0.5,2,60,459
"194",0.5,2,70,453
"195",0.5,2,80,453
"196",0.5,2,90,463
"197",0.5,2,100,459
"198",0.5,2,110,469
"199",0.5,2,120,465
"200",0.5,2,130,466
"201",0.5,2,140,468
"202",0.5,2,150,470
"203",0.5,2,160,476
"204",0.5,2,170,466
"205",0.5,2,180,467
"206",0.5,2,190,475
"207",0.5,2,200,471
"208",0.5,2,210,474
"209",0.5,2,220,475
"210",0.5,2,230,475
"211",0.5,2,240,464
"212",0.5,2,250,476
"213",0.5,2,260,459
"214",0.5,2,270,472
"215",0.5,2,280,476
"216",0.5,2,290,473
"217",0.5,2,300,483
"218",0.5,2,310,472
"219",0.5,2,320,471
"220",0.5,2,330,469
"221",0.5,2,340,471
"222",0.5,2,350,474
"223",0.5,2,360,468
"224",0.5,2,370,475
"225",0.5,2,380,476
"226",0.5,2,390,477
"227",0.5,2,400,471
"228",0.5,2,410,478
"229",0.5,2,420,482
"230",0.5,2,430,468
"231",0.5,2,440,467
"232",0.5,2,450,479
"233",0.5,2,460,468
"234",0.5,2,470,471
"235",0.5,2,480,462
"236",0.5,2,490,482
"237",0.5,2,500,475
"238",0.5,10,1,375
"239",0.5,10,2,440
"240",0.5,10,3,443
"241",0.5,10,4,452
"242",0.5,10,5,452
"243",0.5,10,6,458
"244",0.5,10,7,462
"245",0.5,10,8,461
"246",0.5,10,9,463
"247",0.5,10,10,462
"248",0.5,10,20,462
"249",0.5,10,30,480
"250",0.5,10,40,478
"251",0.5,10,50,474
"252",0.5,10,60,472
"253",0.5,10,70,475
"254",0.5,10,80,469
"255",0.5,10,90,476
"256",0.5,10,100,482
"257",0.5,10,110,472
"258",0.5,10,120,475
"259",0.5,10,130,468
"260",0.5,10,140,477
"261",0.5,10,150,483
"262",0.5,10,160,473
"263",0.5,10,170,475
"264",0.5,10,180,480
"265",0.5,10,190,485
"266",0.5,10,200,480
"267",0.5,10,210,471
"268",0.5,10,220,476
"269",0.5,10,230,479
"270",0.5,10,240,465
"271",0.5,10,250,479
"272",0.5,10,260,473
"273",0.5,10,270,475
"274",0.5,10,280,480
"275",0.5,10,290,487
"276",0.5,10,300,475
"277",0.5,10,310,475
"278",0.5,10,320,472
"279",0.5,10,330,474
"280",0.5,10,340,479
"281",0.5,10,350,470
"282",0.5,10,360,476
"283",0.5,10,370,472
"284",0.5,10,380,463
"285",0.5,10,390,469
"286",0.5,10,400,475
"287",0.5,10,410,477
"288",0.5,10,420,478
"289",0.5,10,430,478
"290",0.5,10,440,478
"291",0.5,10,450,469
"292",0.5,10,460,478
"293",0.5,10,470,472
"294",0.5,10,480,480
"295",0.5,10,490,478
"296",0.5,10,500,485
"297",0.5,100,1,392
"298",0.5,100,2,429
"299",0.5,100,3,457
"300",0.5,100,4,459
"301",0.5,100,5,464
"302",0.5,100,6,469
"303",0.5,100,7,465
"304",0.5,100,8,460
"305",0.5,100,9,463
"306",0.5,100,10,474
"307",0.5,100,20,467
"308",0.5,100,30,473
"309",0.5,100,40,471
"310",0.5,100,50,478
"311",0.5,100,60,479
"312",0.5,100,70,461
"313",0.5,100,80,479
"314",0.5,100,90,474
"315",0.5,100,100,479
"316",0.5,100,110,484
"317",0.5,100,120,471
"318",0.5,100,130,470
"319",0.5,100,140,473
"320",0.5,100,150,464
"321",0.5,100,160,482
"322",0.5,100,170,479
"323",0.5,100,180,470
"324",0.5,100,190,477
"325",0.5,100,200,474
"326",0.5,100,210,480
"327",0.5,100,220,470
"328",0.5,100,230,473
"329",0.5,100,240,470
"330",0.5,100,250,486
"331",0.5,100,260,469
"332",0.5,100,270,467
"333",0.5,100,280,476
