"","lambda","q","n","W","p_val","skewness","kurt","bias"
"2",0,2,1,0.926342427132783,3.32474918900901e-44,-0.263365635992892,17.0424072447944,-0.0186939761168446
"3",0,2,2,0.97692448889143,9.85002087986321e-28,0.151197627783898,6.16352339647979,-0.00704277253910438
"4",0,2,3,0.96817943447458,6.81743839516827e-32,-0.121133608809389,7.04406050005435,0.0104079595854143
"5",0,2,4,0.978194756549682,4.95070669661492e-27,0.133303933022355,5.91327913981714,0.00721202381059508
"6",0,2,5,0.98631783509908,1.27533359504252e-21,0.15737160421844,4.95665568955481,-0.00206987380189971
"7",0,2,6,0.991944216385912,2.98790847011866e-16,-0.0684170018120703,4.42702316927689,-0.0074996601802802
"8",0,2,7,0.990820917695456,1.69438123599565e-17,0.0221547692870078,4.48376674080544,-0.00416106662719345
"9",0,2,8,0.994974133863949,3.64405609875778e-12,-0.0371624993293655,3.91640411150106,-0.00134330064146906
"10",0,2,9,0.992842422093487,3.63715145481912e-15,-0.0104547721834714,4.13558861518931,-0.00121518850558413
"11",0,2,10,0.996050295765356,2.49132993941474e-10,-0.00715333491433859,3.82009769003945,-0.00276773430599394
"12",0,2,11,0.9943279272741,3.77011650603933e-13,-0.014840694945993,4.01076242712134,-0.00406693201559812
"13",0,2,12,0.980276425300532,8.20224032368313e-26,-0.503809158116486,8.95510932082925,-0.00292086625136797
"14",0,2,13,0.991493156536096,9.14747341757652e-17,0.0863717450768174,4.63997264904145,0.00166294763165093
"15",0,2,14,0.998618279188432,0.000266326920867539,-0.0270391628703996,3.35489835609695,-0.00422339135233914
"16",0,2,15,0.957626520608277,7.37231756216842e-36,-0.95891196497321,21.0093922377682,0.000543899616426776
"17",0,2,16,0.996958509187695,1.56458021473869e-08,-0.0354068915463269,3.68153458081884,-0.00146881495523898
"18",0,2,17,0.995984612512607,1.88910520779651e-10,0.0422862412417925,3.79810938904449,0.00514257901642081
"19",0,2,18,0.996924538408692,1.32439141655701e-08,-0.0440634832228716,3.63065443588826,-7.71709982120973e-05
"20",0,2,19,0.99879087706978,0.000923911937137152,0.00236191667827281,3.34119321247618,0.00317376123953421
"21",0,2,20,0.996219820131097,5.15476027676818e-10,0.0806033612787578,3.82318476665054,0.00275154174162521
"22",0,2,21,0.996599541361897,2.82539855122632e-09,0.0752776320277688,3.65657576207418,0.00270128806507255
"23",0,2,22,0.997275020715269,7.78351789265672e-08,-0.0608843408681429,3.56021554036598,-0.006358077080357
"24",0,2,23,0.998940061527028,0.00281888217577118,0.00414167205306558,3.32979676411758,0.00418970500333969
"25",0,2,24,0.998315174464611,3.3857976089664e-05,-0.0673906816256871,3.38435978187279,-0.00112078083741204
"26",0,2,25,0.997111182009178,3.35212651790858e-08,-0.017167171699666,3.64814970402316,-0.000947042428354159
"27",0,2,26,0.998423107624592,6.93553694677997e-05,0.0224361680962847,3.40615247794988,0.00124330155161834
"28",0,2,27,0.996215853627638,5.06669847926262e-10,-0.0371986721526792,3.76851989251778,0.00396022133324199
